Keyword,Rank/Position,URL shown,Timestamp
社會責任,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
社會責任例子,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB%E4%BE%8B%E5%AD%90&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業回饋社會的例子,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E5%9B%9E%E9%A5%8B%E7%A4%BE%E6%9C%83%E7%9A%84%E4%BE%8B%E5%AD%90&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業csr,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%ADcsr&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
csr活動,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=csr%E6%B4%BB%E5%8B%95&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
csr案例,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=csr%E6%A1%88%E4%BE%8B&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
教育csr,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E6%95%99%E8%82%B2csr&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業公益,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E5%85%AC%E7%9B%8A&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業公益形象,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E5%85%AC%E7%9B%8A%E5%BD%A2%E8%B1%A1&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
公益活動有哪些,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E5%85%AC%E7%9B%8A%E6%B4%BB%E5%8B%95%E6%9C%89%E5%93%AA%E4%BA%9B&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
數位轉型,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E6%95%B8%E4%BD%8D%E8%BD%89%E5%9E%8B&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
數位轉型定義,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E6%95%B8%E4%BD%8D%E8%BD%89%E5%9E%8B%E5%AE%9A%E7%BE%A9&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
數位轉型成功案例,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E6%95%B8%E4%BD%8D%E8%BD%89%E5%9E%8B%E6%88%90%E5%8A%9F%E6%A1%88%E4%BE%8B&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業數位轉型,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E6%95%B8%E4%BD%8D%E8%BD%89%E5%9E%8B&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
線上活動,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E7%B7%9A%E4%B8%8A%E6%B4%BB%E5%8B%95&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
線上活動案例,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E7%B7%9A%E4%B8%8A%E6%B4%BB%E5%8B%95%E6%A1%88%E4%BE%8B&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
線上活動規劃,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E7%B7%9A%E4%B8%8A%E6%B4%BB%E5%8B%95%E8%A6%8F%E5%8A%83&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
線上活動設計,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E7%B7%9A%E4%B8%8A%E6%B4%BB%E5%8B%95%E8%A8%AD%E8%A8%88&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
esg案例,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=esg%E6%A1%88%E4%BE%8B&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業永續發展,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E6%B0%B8%E7%BA%8C%E7%99%BC%E5%B1%95&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業培訓,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E5%9F%B9%E8%A8%93&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業內訓,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E5%85%A7%E8%A8%93&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業教育訓練,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E6%95%99%E8%82%B2%E8%A8%93%E7%B7%B4&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業內訓課程,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E5%85%A7%E8%A8%93%E8%AA%B2%E7%A8%8B&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
csr是什麼,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=csr%E6%98%AF%E4%BB%80%E9%BA%BC&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
CSR企業社會責任,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=CSR%E4%BC%81%E6%A5%AD%E7%A4%BE%E6%9C%83%E8%B2%AC%E4%BB%BB&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
esg 定義,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=esg+%E5%AE%9A%E7%BE%A9&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
永續教育,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E6%B0%B8%E7%BA%8C%E6%95%99%E8%82%B2&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
企業永續,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E4%BC%81%E6%A5%AD%E6%B0%B8%E7%BA%8C&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
新人訓練,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E6%96%B0%E4%BA%BA%E8%A8%93%E7%B7%B4&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
線上新人訓練,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E7%B7%9A%E4%B8%8A%E6%96%B0%E4%BA%BA%E8%A8%93%E7%B7%B4&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
sdgs教育,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=sdgs%E6%95%99%E8%82%B2&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
永續發展教育,ERROR,400 Client Error: Bad Request for url: https://api.serpwow.com/live/search?api_key=D2CF7F9ECC1947D2ACC864C5712547C5&q=%E6%B0%B8%E7%BA%8C%E7%99%BC%E5%B1%95%E6%95%99%E8%82%B2&gl=tw&hl=zh-tw&device=desktop&search_type=web&num=100,2026-02-10 12:09:59
